,artist,album,year
659,Maria João Pires / Carlos do Carmo,Maria João Pires / Carlos do Carmo,2012
364,Maria Lisboa,Tenho fe em Deus,2015
366,Maria Lisboa,Que Deus te guarde,2017
4,Mariza,Fado curvo,2004
7,Mariza,Fado em mim,2004
19,Mariza,Transparente,2006
27,Mariza,Concerto em Lisboa,2007
55,Mariza,Terra,2009
76,Mariza,Fado tradicional,2011
129,Mariza,Best Of Mariza,2015
135,Mariza,Mundo,2016
178,Mariza,Mariza [2018],2019
286,Marta Ren & The Groovevelts,"Stop, Look, Listen",2016
564,Mesa,Mesa,2004
433,Mia Rose,Tudo pra dar,2017
34,Mickael Carreira,Mickael,2007
41,Mickael Carreira,Entre nós,2008
444,Mickael Carreira,Tudo o que eu sonhei,2009
109,Mickael Carreira,Viver a vida,2013
123,Mickael Carreira,Sem olhar para trás,2015
151,Mickael Carreira,Instinto,2017
609,Miguel Angelo,Primeiro,2012
450,Miguel Araújo,Cinco dias e meio,2012
224,Miguel Araújo,Crónicas da cidade grande,2015
141,Miguel Araújo,Cidade grande ao vivo no Coliseu do Porto,2016
432,Miguel Araújo,Giesta,2017
211,Miguel Gameiro,A porta ao lado,2011
389,Miguel Gameiro,11 canções,2013
259,Missy M,Missy M,2012
587,Moullinex,Hypersex,2017
278,Muxima,Homenagem ao Duo Ouro Negro,2010
419,Márcia,Casulo,2013
472,Márcia,Quarto crescente,2015
196,Márcia,Vai e vem,2019
65,Mário Branco - Sérgio Godinho - Fausto,Três cantos: Ao vivo,2010
254,Mão Morta,1988-1992,2010
383,Mão Morta,Pesadelo em peluche,2010
451,Mão Morta,Pelo meu relógio são horas de matar,2014
579,Mão Morta,No fim era o frio,2019
271,Mão Morta & Remix Ensemble,Ao vivo no Theatro Circo,2017
547,Mísia,Ruas,2010
613,Mísia,Para amália,2015
575,Mónica Ferraz,Love,2014
405,Nelson Freitas,Elevate,2014
336,Nelson Freitas,Four,2016
617,Némanus,Dançando kizomba,2007
511,Némanus,O melhor de Némanus,2013
362,Némanus,Ao vivo no Coliseu,2014
473,Némanus,Furacão,2015
399,Oquestrada,Tasca Beat - O sonho portugês,2009
280,Oquestrada,Tasca Beat - O Sonho Portugês,2012
430,Oquestrada,Atlantic Beat - Mad'in Portugal,2014
93,Ornatos Violeta,Ornatos Violeta,2012
655,Ornatos Violeta,O monstro precisa de amigos,2019
658,Ornatos Violeta,Cão,2019
516,Os Azeitonas,Em boa companhia eu vou,2012
501,Os Azeitonas,Az,2013
306,Os Azeitonas,Serviço ocasional - Os azeitonas ao vivo no coliseu do porto,2015
435,Os Azeitonas,Banda sonora,2018
590,Os Pontos Negros,Magnífico material inútil,2008
26,Paco Bandeira,Uma vida de canções,2007
644,Paião,Paião,2018
159,Panda E Os Amigos,Panda E Os Amigos,2017
183,Patrícia Candoso,O outro lado,2005
298,Paulo Bragança,Cativo,2018
30,Paulo Gonzo,Paulo Gonzo,2007
359,Paulo Gonzo,Ao vivo no coliseu,2007
40,Paulo Gonzo,Perfil,2008
486,Paulo Gonzo,By Request,2010
186,Paulo Gonzo,Colecção,2011
94,Paulo Gonzo,Só gestos,2012
333,Paulo Gonzo,Só gestos - Edição especial,2013
114,Paulo Gonzo,Duetos,2014
323,Paulo Gonzo,Diz-me,2017
239,Paulo Sousa,Teu,2018
500,Paulo de Carvalho,Vivo - 50 anos de carreira,2011
390,Paus [PT],Paus,2014
249,Paus [PT],Mitra,2016
353,Paus [PT],Madeira,2018
616,Paus [PT],Yess,2019
3,Pedro Abrunhosa,Palco,2004
652,Pedro Abrunhosa,Coliseu,2011
113,Pedro Abrunhosa,Contramão,2014
132,Pedro Abrunhosa,Viagens,2015
175,Pedro Abrunhosa,Espiritual,2019
260,Pedro Barroso,Cantos da paixão e da revolta,2012
253,Pedro Khima,Pedro Khima,2008
235,Pedro Mestre,Campaniça do despique,2015
437,Pedro Mestre,Mercado dos amores,2019
502,Pedro Moutinho,O amor não pode esperar,2013
270,Pedro Moutinho,O fado em nós,2016
188,Pedro Osório,Cantos da Babilónia,2012
290,Pedro Vaz,Manual de canções,2018
571,Peixe : Avião,Madrugada,2010
507,Per7ume,Per7ume,2008
448,Per7ume,Mudo,2011
382,Pólo Norte,15 anos,2008
412,Quim Barreiros,A cabritinha,2004
475,Quim Barreiros,Use álcool,2007
443,Quim Barreiros,Fui acudir,2008
459,Quim Barreiros,O peixe,2009
427,Quim Barreiros,Deixai-me chutar,2010
330,Quim Barreiros,O brioche da Sofia,2011
404,Quim Barreiros,Mole não entra,2013
420,Quim Barreiros,Caça asneiras,2014
518,Quim Barreiros,O pau caiu na panela,2015
526,Quim Barreiros,Eu faço 69,2016
436,Quim Barreiros,Amélia costureira,2019
386,Quinta do Bill,Sete,2011
148,Rancho De Cantadores De Aldeia Nova De São Bento,Rancho De Cantadores De Aldeia Nova De São Bento,2017
238,Raquel Tavares,Raquel,2017
161,Raquel Tavares,Roberto Carlos por Raquel Tavares,2018
551,Raul Solnado,Tá laáa...? O melhor de Raul Solnado vol. 2,2004
59,Raul Solnado,O irresistível,2009
302,Raul Solnado,Façam o favor de ser felizes!,2010
281,Resistência,As vozes de uma geração,2012
654,Resistência,Horizonte,2014
160,Resistência,Ao vivo em Lisboa,2017
601,Resistência,Ventos e mares,2018
458,Ricardo Azevedo,Prefacio,2007
517,Ricardo Azevedo,Frente e verso,2012
384,Ricardo Ribeiro,Porta do coração,2010
247,Ricardo Ribeiro,Largo da memória,2014
337,Ricardo Ribeiro,"Hoje é assim, amanhã não sei",2016
395,Ricardo Ribeiro,Respeitosa mente,2019
18,Rita Guerra,Rita,2006
569,Rita Guerra,Sentimento,2007
53,Rita Guerra,O melhor de Rita Guerra - Acustico ao vivo,2009
258,Rita Guerra,Luar,2010
92,Rita Guerra,Retrato,2012
120,Rita Guerra,Ao vivo no CCB,2014
584,Rita Guerra,Volta,2014
594,Rita Guerra,No meu canto - O melhor de...,2015
184,Rodrigo Leão,Cinema,2005
31,Rodrigo Leão,O mundo (1993 - 2006),2007
44,Rodrigo Leão,"Portugal, um retrato social",2008
91,Rodrigo Leão,A montanha mágica,2012
107,Rodrigo Leão,Songs (2004-2012),2013
130,Rodrigo Leão,O espírito de um país,2015
284,Rodrigo Leão,A vida secreta das máquinas,2015
145,Rodrigo Leão,O retiro,2016
339,Rodrigo Leão,O aniversário,2018
493,Rodrigo Leão,Os portugueses,2018
69,Rua da Saudade,Canções de Ary dos Santos,2010
63,Rui Reininho,Companhia das Índias,2009
0,Rui Veloso,O concerto acústico,2004
16,Rui Veloso,A espuma das canções,2006
67,Rui Veloso,Ao vivo no Pavilhão Atlântico,2010
102,Rui Veloso,Rui Veloso e amigos,2013
110,Rui Veloso,Mingos & os samurais,2013
138,Rui Veloso,O melhor de Rui Veloso - 20 anos depois,2016
162,Salvador Sobral,Excuse Me ao vivo,2018
166,Salvador Sobral,Excuse Me,2018
341,Salvador Sobral,"Paris, Lisboa",2019
35,Sam The Kid,Pratica(mente),2007
263,Samuel Úria,O grande medo do pequeno mundo,2013
409,Samuel Úria,Carga de ombro,2016
454,Sangre Ibérico,Sangre Ibérico,2018
413,Santamaria,2 Beat,2005
506,Santamaria,8,2006
544,Santamaria,Hits Singles,2006
528,Santamaria,Elements,2007
497,Santamaria,Virtual,2008
514,Santamaria,Xplosion,2009
499,Santamaria,Play,2010
332,Santamaria,Let's Dance,2012
491,Santamaria,15 anos ao vivo,2014
512,Santamaria,Gold,2015
310,Santos & Pecadores,O melhor de caixa dos segredos,2009
203,Santos & Pecadores,Energia,2012
656,Sara Carreira,Metade,2019
563,Sara Correia,Sara Correia,2018
198,Sara Tavares,Balancê,2007
445,Sara Tavares,Xinti,2009
163,Sara Tavares,Fitxadu,2018
557,Selma Uamusse,Mati,2018
319,Simone de Oliveira,Pedaços de mim,2013
634,Sitiados,Sitiados 25 Anos,2017
555,Soundtrack / António Variações,Variações,2019
241,Stereossauro,Bairro da ponte,2019
331,Supernada,Nada è possível,2012
417,Suzana,Mesmo assim,2010
553,Suzana,Mistérios de quem ama,2011
342,Sérgio Godinho,71 - 86 - O melhor de Sergio Godinho,2004
604,Sérgio Godinho,Ligacao directa,2006
261,Sérgio Godinho,Mútuo consentimento,2012
121,Sérgio Godinho,Caríssimas canções,2014
611,Sérgio Godinho,Liberdade,2014
228,Sérgio Godinho,Nação valente,2018
232,Sérgio Godinho & Os Assessores,Nove e meia no Maria Matos,2008
387,Sétima Legião,Memória,2012
485,TT [PT],TT,2008
529,TT [PT],Mais que uma razão,2009
137,Tais Quais,Os fabulosos tais quais,2016
324,Tais Quais,Ao vivo no tivoli,2017
466,Tais Quais,As novas aventuras dos Tais Quais,2019
380,Tara Perdida,Nada a esconder,2008
403,Tara Perdida,Dono do mundo,2013
480,Tara Perdida,Luto,2015
300,Tara Perdida,Reza,2019
21,Teresa Salgueiro,Obrigado,2006
326,Teresa Salgueiro,Você e eu,2007
605,Teresa Salgueiro & Lusitânia,La serena,2007
355,Teresinha Landeiro,Namoro,2019
345,Tereza Salgueiro,Matriz,2009
581,Tiago Bettencourt,O jardim,2007
311,Tiago Bettencourt,Em fuga,2010
234,Tiago Bettencourt,Tiago na toca,2012
452,Tiago Bettencourt,Do principio,2014
577,Tiago Bettencourt,A procura,2017
651,Tim [PT],Braço de prata,2008
329,Tim [PT],Companheiros de aventura,2010
619,Tim [PT],Tim e companheiros de aventura,2012
407,Tim [PT],Ao vivo n'o sol da caparica,2016
1,Tony Carreira,Ao vivo no pavilhao atlantico,2004
13,Tony Carreira,Vagabundo por amor,2005
25,Tony Carreira,A vida que eu escolhi,2007
49,Tony Carreira,O homem que sou,2009
58,Tony Carreira,Best Of - 20 anos de canções,2009
361,Tony Carreira,Dois coracoes sozinhos,2009
75,Tony Carreira,O mesmo de sempre,2011
90,Tony Carreira,Best Of - 20 anos de canções - Vol. 2,2012
100,Tony Carreira,Essencial,2013
112,Tony Carreira,25 anos,2014
122,Tony Carreira,Sempre,2015
165,Tony Carreira,Sempre mais,2018
174,Tony Carreira,As cançoes das nossas vidas,2019
471,Tony De Matos,A vida de um romantico,2007
291,Toranja,Esquissos,2004
397,Toranja,Segundo,2005
